Team,Rules knowledge,Fouls and contact,Fair mindedness,Positive attitude,Communication,Spirit,Division,Score
Arsenic (Open),2,2.14,3,2.71,2.57,12.43,Junior Open,23
Cannons: Junior Open,2.43,2.29,2.57,3,2.14,12.43,Junior Open,19
Eclipse Open,1.71,1.29,1.86,1.71,2,8.57,Junior Open,2
High Tide Open,2,2,2.29,2.29,2.43,11,Junior Open,9
Ignite,1.86,2,2.14,2.43,2,10.43,Junior Open,8
Manitou,2,2.29,2.71,3.14,2.57,12.71,Junior Open,14
Masters of Flying Objects (MOFO),2.29,1.71,2.29,2.14,2.57,11,Junior Open,7
Mischief Open,2.29,2.14,2.57,3,2.43,12.43,Junior Open,6
New Scotland Blues,2.14,1.71,2.14,2.14,2.43,10.57,Junior Open,15
Origine Open,2.43,2.57,2.71,2.71,2.57,13,Junior Open,21
Rogue Squadron,1.86,1.57,2.14,2.29,2.29,10.14,Junior Open,17
Rolling Thunder Open,2,2,2.29,2.43,2.14,10.86,Junior Open,11
Savage Open,2,1.71,2.14,2.29,2.43,10.57,Junior Open,4
Scorch,2,2,2.57,3,2.43,12,Junior Open,18
Spitfire,2,2.29,2.71,2.71,2.43,12.14,Junior Open,24
Storm,2.14,2.43,2.57,2.29,2.43,11.86,Junior Open,20
Stud,2.29,2,2.29,2.29,2.43,11.29,Junior Open,13
Titane (Open),1.86,2.29,2.71,3.14,2.43,12.43,Junior Open,5
TORO,2.86,2.43,3,2.86,2.57,13.71,Junior Open,1
Uproar,2.43,2,2,2.14,2.43,11,Junior Open,10
Vanguard Open,2.57,2.29,2.57,3,2.57,13,Junior Open,16
Vintage Open,1.71,1.57,1.71,2,2.29,9.29,Junior Open,12
Vortex Open,2.14,1.57,2.71,2.57,2.57,11.57,Junior Open,3
Wheaties,2.29,2,2.57,2.57,2.14,11.57,Junior Open,22
Arsenic ( women),1.71,1.86,2,2.43,2,10,Junior Women,19
Bonfire: Junior Women,1.71,1.86,1.86,2.29,1.86,9.57,Junior Women,6
Cannons: Junior Women,2.14,2.29,2.14,2.71,2.14,11.43,Junior Women,9
Eclipse Women,2.14,2.14,1.86,2.14,2.14,10.43,Junior Women,2
High Tide Women,1.86,2.43,2.29,2.43,2.29,11.29,Junior Women,14
Mischief Women,2,1.57,2,2.14,2.14,9.86,Junior Women,5
MOFO (Masters Of Flying Objects) Women,2.43,1.86,2,2,2,10.29,Junior Women,1
New Scotland Blues,2,1.86,2.43,2.57,2.14,11,Junior Women,16
Nightfury Soars,2.14,2.14,2,2.29,2.14,10.71,Junior Women,11
Origine Women,1.86,2,2.29,2.86,2.29,11.29,Junior Women,15
Prairie Blaze,2,1.86,2.57,2.71,2.14,11.29,Junior Women,18
Red River Rebellion,2,1.86,2,2.29,2.57,10.71,Junior Women,13
Rolling Thunder Women,1.57,1.71,2,2,1.71,9,Junior Women,12
Storm,2,2.14,2.71,2.57,2.14,11.57,Junior Women,20
Titane (Women),2,2.29,1.71,2.57,2.57,11.14,Junior Women,8
TORO,2.29,1.86,2.57,2.71,2.43,11.86,Junior Women,3
Uproar,1.57,2,2,2,2.29,9.86,Junior Women,10
Vintage Women,1.71,1.86,2.14,2,2.71,10.43,Junior Women,17
Vortex Women,2.14,1.43,1.86,2.14,2.14,9.71,Junior Women,4
Wicked West,1.71,1.71,2,2.43,2,9.86,Junior Women,7
Borderline,2,2.14,2,2.14,2.43,10.71,Masters Open,2
Max Power,2,1.71,2,1.71,2.57,10,Masters Open,1
NSOM,2,1.63,2,2.25,2.13,10,Masters Open,4
Queen City Kings,2,2,2.25,2.13,2.38,10.75,Masters Open,3
Silverbacks,2,1.43,2,1.86,2.29,9.57,Masters Open,5
Viper,2.29,2.71,2.71,2.86,2.43,13,Masters Open,6
Forever 31,2.14,1.43,2,2.29,2,9.86,Masters Women,1
Mint,2,1.86,2.43,2.71,2.29,11.29,Masters Women,3
Nebula,1.86,2.43,2.43,2.71,2.29,11.71,Masters Women,6
The Collective,2,1.63,2.25,2.25,2.25,10.38,Masters Women,4
Thrift Shop,2.13,2,2.25,2.75,2.38,11.5,Masters Women,2
Vega,1.71,1.71,2.57,2.29,2.29,10.57,Masters Women,5
Beer Kitty,2,2.29,2.14,2.29,2.14,10.86,Mixed,3
Bunny Thugs,2.29,2.43,2.57,2.43,2.43,12.14,Mixed,4
Crux,2.13,2.25,2.63,2.75,2.25,12,Mixed,16
Fable,1.88,2,2.25,2.13,2.25,10.5,Mixed,9
Force,1.88,1.5,1.63,1.88,1.75,8.63,Mixed,5
Goomba Gang,2,2,2.14,2,1.71,9.86,Mixed,2
Joey & Friends,1.75,1.75,1.75,1.88,1.88,9,Mixed,10
Lit,1.88,1.75,2.13,2.25,1.63,9.63,Mixed,12
Local 613,2,2.13,2.25,2.38,2.25,11,Mixed,8
Mola Mola,2,1.75,2.38,2.63,2.13,10.88,Mixed,18
Pretty Boys and Handsome Girls,2,1.71,2.29,2.14,2.29,10.43,Mixed,1
Quest,2.13,1.63,2.25,2.25,2.13,10.38,Mixed,17
Rogue Hippo,2.25,2.38,2.38,2.75,2.5,12.25,Mixed,14
T.T,2.13,1.88,2.38,1.88,2,10.25,Mixed,6
The Super Friends,2.13,2.25,2.25,2.25,2.25,11.13,Mixed,19
Thunder,2.13,2.5,2.63,2.75,2.25,12.25,Mixed,20
Trail Mix,2.13,2,2.25,2.13,2.13,10.63,Mixed,11
Tyrannosaurus Rad,2.5,2,2.38,2.63,2.38,11.88,Mixed,15
Victoria Gull n Buoys,2,2,2.38,2.25,2.13,10.75,Mixed,7
Zen,1.88,2,2.38,2.38,2,10.63,Mixed,13
Firefly,2,2,2.29,2.71,2.14,11.14,Mixed Masters,8
Happy Campers,2.14,1.57,2.14,2.57,2.14,10.57,Mixed Masters,1
High Level,2,2,2.14,2.57,2,10.71,Mixed Masters,7
Mastadon,1.86,1.86,2.14,2.29,2,10.14,Mixed Masters,2
