Team,Rules Knowledge and Use,Fouls and Body Contact,Fair-mindedness,Attitude and Self-Control,Communication,Spirit,Division,Score
Bonfire,2.14,1.86,2.14,2.14,2.14,10.43,Juniors Open,9
Cannons,2.29,2.29,2.86,3,2.57,13,Juniors Open,14
Eclipse,2.29,2.43,2.14,2.43,3,12.29,Juniors Open,1
Fallout,2.29,1.86,2.71,2.57,2.43,11.86,Juniors Open,13
Ignite,2,2,2.57,2.14,2.57,11.29,Juniors Open,2
Manitou,2.14,2.14,2.57,2.14,2.29,11.29,Juniors Open,11
Mischief,2.14,2.29,2.57,3,2.57,12.57,Juniors Open,7
MOFO,1.71,1.57,2,2.14,2.14,9.57,Juniors Open,4
Reign,2.29,2,2.29,2.29,2.57,11.43,Juniors Open,8
Rolling Thunder,2.43,2.43,2.43,2.43,2.43,12.14,Juniors Open,12
Scorch,2.43,2,3.14,2.86,2.86,13.29,Juniors Open,18
Spitfire,2,2.14,2.29,1.86,2.14,10.43,Juniors Open,19
Storm,1.86,2,2.57,2.57,2.14,11.14,Juniors Open,20 
STUD,2.14,2.57,2.86,2.43,2.71,12.71,Juniors Open,10 
Titane,2.86,2.29,3,3.14,2.71,14,Juniors Open,6 
TORO,2.57,2.43,2.86,2.57,2.71,13.14,Juniors Open,3 
Uproar,1.57,2,2.29,1.86,2,9.71,Juniors Open,15 
Vintage,1.86,1.71,2.14,1.71,2.29,9.71,Juniors Open,17 
Vortex,2.29,2,2.29,2.43,2.57,11.57,Juniors Open,5 
Wheaties,2.29,2.29,2.86,2.71,2.14,12.29,Juniors Open,16 
Bonfire,2.14,1.86,2.43,2.14,2.29,10.86,Juniors Women,7
Cannons,2,2.29,2.57,3.14,2.71,12.71,Juniors Women,8
Eclipse,2.14,1.57,2,2.14,2.43,10.29,Juniors Women,5
FALLOUT,2,2.14,2.71,2.43,2.29,11.57,Juniors Women,11
Mischief,1.86,2,2.43,2.43,2.29,11,Juniors Women,6
MOFO,2.14,1.57,2.14,1.86,2.43,10.14,Juniors Women,2
Red River Rebellion,2,1.86,2.29,2.29,2.57,11,Juniors Women,13
Rolling Thunder,2,2,2.86,2.57,2.29,11.71,Juniors Women,10
Storm,2,2.14,2.57,3.14,2.43,12.29,Juniors Women,16
Titane,2,1.86,2.43,2.71,2,11,Juniors Women,9
TORO,1.86,1.71,1.86,1.86,1.86,9.14,Juniors Women,1
Uproar,1.86,1.57,2,2.43,2.14,10,Juniors Women,14
Vintage,1.43,1.57,2.14,2.14,2.14,9.43,Juniors Women,12
Vortex,2.29,1.43,2.14,2.43,2.14,10.43,Juniors Women,3
Wicked East,1.71,2.14,2.43,2.57,2,10.86,Juniors Women,15
Wicked West,1.71,2,1.71,1.86,1.71,9,Juniors Women,4
Anchor,2.13,2,2.25,2.25,2,10.63,Mixed,10
Battleship,2.29,1.86,2.14,2.29,2.14,10.71,Mixed,3
Crux,2,2.13,2.25,2.38,2.13,10.88,Mixed,19
Fable,2.38,2.13,2.63,2.63,2.25,12,Mixed,16
Force,2,2,2.25,2.25,1.75,10.25,Mixed,4
Iceberg,2,1.88,2.13,2,2.38,10.38,Mixed,6
Khaos,2,1.86,2.14,2.29,2.29,10.57,Mixed,7
LAB,2,1.86,2.14,1.71,2.43,10.14,Mixed,1
Lit,1.88,2.13,2.25,2.25,2,10.5,Mixed,12
Local 613,1.63,1.63,1.88,1.88,2.13,9.13,Mixed,11
Pretty Boys and Handsome Girls,2,1.88,2.38,2.63,2.38,11.25,Mixed,8
Quakers,2.13,2,2.5,2.63,2.75,12,Mixed,13
Quest,1.88,1.75,2,2.38,2.25,10.25,Mixed,17
Red Fox,2,2,2.38,2.5,2.5,11.38,Mixed,20
SOUP,1.71,1.86,1.86,2.14,2.14,9.71,Mixed,2
Spawn,2.13,2,2.25,2.5,2.38,11.25,Mixed,14
T.T,2.13,2.13,2.38,2.38,2.38,11.38,Mixed,9
Trail Mix,2.13,2.38,2.13,2.75,2.13,11.5,Mixed,18
Union,1.75,1.75,2.38,2.25,2.5,10.63,Mixed,5
Victoria Gulls n' Buoys,2.13,2.13,2.5,2.75,2.25,11.75,Mixed,15
1778,1.88,2,2.25,2.25,2.13,10.5,Masters Mixed,10
BoD,2,1.88,2.13,2,2.13,10.13,Masters Mixed,9
Firefly,2,2.38,2.38,3,2.25,12,Masters Mixed,12
Flux,1.88,1.5,2,1.75,2,9.13,Masters Mixed,2
Gaia Sale,2,2.13,2,2,1.75,9.88,Masters Mixed,4
Happy Campers,2,2,2.38,2.38,2.38,11.13,Masters Mixed,5
Kitchen Party,1.63,1.75,2.5,2.5,2.5,10.88,Masters Mixed,11
Mastadon,2,1.75,2,2.38,2.38,10.5,Masters Mixed,7
Notorious KWG,2.13,2,2.5,2.38,2.38,11.38,Masters Mixed,3
Penguin Village Ultimate,2.13,2.13,2.25,2.5,2.38,11.38,Masters Mixed,8
Qold,1.75,1.13,1.63,1.75,2,8.25,Masters Mixed,1
ReUnion,2,1.63,2.38,2.13,1.88,10,Masters Mixed,6
Alberta Flatball Club,2,1.88,2,2.5,2.75,11.13,Open,4
Berta Flatball Club,2.38,2.5,3,2.75,2.38,13,Open,16
Blackfish,2,1.75,2.25,1.88,2.25,10.13,Open,6
Club M - Magma,2.25,2,2.5,2.38,2.63,11.75,Open,15
Club M - Manic,1.88,2,2.38,2.5,2.5,11.25,Open,11
Furious George,2.13,2.13,2.25,1.88,2.13,10.5,Open,1
General Strike,2.13,1.75,2.5,2.13,2.38,10.88,Open,3
GOAT,2.13,2,2.38,2.25,2.38,11.13,Open,2
Grand Trunk,1.78,2,2.44,2.44,2.56,11.22,Open,9
Houndd,2.22,1.89,2.11,2.22,2.11,10.56,Open,8
Phoenix,2.5,2,2.5,2.25,2.25,11.5,Open,5
Quake,2,1.78,2.11,2.33,2.11,10.33,Open,7
Regiment,2.11,2.11,2.56,2.56,2.33,11.67,Open,12
RUT,2.13,2.13,2.75,2.38,2.13,11.5,Open,13
Shrike,1.88,1.75,2.25,2.13,2.25,10.25,Open,10
Whiskeyjacks,2.13,1.75,2.38,2,2.38,10.63,Open,14
Carbon,2.14,2,2.71,2.29,2.57,11.71,Masters Open,3
Endgame,1.63,1.88,2,2.13,2.5,10.13,Masters Open,4
Queen City Kings,2,1.38,1.75,1.75,2.13,9,Masters Open,2
Still,1.86,1.14,1.86,2.29,2,9.14,Masters Open,1
Viper,2.14,2.14,2.57,2.86,2.43,12.14,Masters Open,6
West Edmonton Maulers,2.14,2,2.43,2.14,2.14,10.86,Masters Open,5
'Berta,2.17,2,2.33,2.5,2.67,11.67,Masters Women,2
Annie Oakley,2,1.83,2.5,2.83,2.17,11.33,Masters Women,10
Artemis,2,2.29,2.14,2.43,2.14,11,Masters Women,7
CUFM - Vintage,2,1.86,2.29,2.43,2.29,10.86,Masters Women,5
